"skill_id","display_name","category","subcategory"
"0034c6839d64a1d8b84c13a2e483eddc","Skydio","Applications","Industry"
"006ddee194299afdb6b1fc790a2e47bd","Qlik Staige","Analytics","BI & Analytics Platforms"
"00bdd87b36c5a6486fa32a1f8e12c2b4","Resemble.ai","Applications","Horizontal"
"00cb2e4b73a8a6e548a4e2b8d4e4a811","Microsoft EconML","Analytics","Experimentation & Causal"
"00f9936285efe550846158cdf7a4a425","Hightouch","Infrastructure","Integrate & Operate"
"01404f2a220ab63e421b67494aac8301","AWS Lambda","Infrastructure","Integrate & Operate"
"0144c9957d2968d76ad3d7b2a7c11300","Hugging Face Datasets","Data Sources & APIs","Data Marketplaces & Discovery"
"01a8e1eb103ccb65773b42528d6558a5","EY Consulting Services","Data & AI Consulting","Data & AI Consulting"
"01aed08f8c8d3a84bcc0936b05001ca5","Ashby","Applications","Enterprise"
"01f052cffbc8fc0d558fa7c7af0b314a","Ubuntu","Infrastructure","Operating Systems"
"01f0dc7859d58c2b27e9f5e4b456fd95","Cleanlab","Infrastructure","Integrate & Operate"
"0244fd771eedbf0833aadc1d62fa501a","Meta Research","Machine Learning & Artificial Intelligence","Modalities & Research"
"02b3fc54b07a492a89ef2984f46ff225","Guru","Applications","Horizontal"
"02dc265481b09c7ef3c3c51b2f977148","OpenAI Whisper","Machine Learning & Artificial Intelligence","Modalities & Research"
"02de611a455aa9348f6b1697d9311667","Stripe Radar","Applications","Enterprise"
"02e01b49ca01a1149701a05cd9bc003a","Tecton","Machine Learning & Artificial Intelligence","Operate & Supply"
"02edf227bbe32c2d80d90788cbea1b7a","Google Cloud Dataflow","Infrastructure","Store & Stream"
"02fc32a1d96731ab37689b0e36aef38e","R Shiny","Analytics","BI & Analytics Platforms"
"030cfc4665b38682726370200649e737","Epirus","Applications","Industry"
"031949959ff2cd179ae1ad52ca8f1b70","Apache Beam","Infrastructure","Store & Stream"
"032c86021d0778d57d85ea52a85fcd8d","Trace Metric Trees","Analytics","Headless / Embedded BI & Semantic Layer"
"033d508a16697f857c06a527ddf1e544","Coolfire","Applications","Collaboration & Communication"
"03a095e58c5ae76296b68b2736507eb9","OVH","Infrastructure","Cloud Platform"
"03c94358c5c0e0a5bd79341518669578","Planet","Data Sources & APIs","Geospatial, Satellite & Location"
"03dba2a22bb54a2ef6789e40eb320326","Chroma","Infrastructure","Store & Stream"
"04218b7e7eb6eccb106890f92ebc639c","WSL","Infrastructure","Operating Systems"
"044c933526568129a29ae05486215a23","Temporal","Infrastructure","Integrate & Operate"
"0451a38c0ba7ea263bbf0b95e9fad97c","Groq","Machine Learning & Artificial Intelligence","Run & Deploy"
"045e533f90ae57202d7f88c2ffda35bf","Latent Labs","Applications","Industry"
"04618c2a64333bbec9d574311736391b","Resemble.ai","Machine Learning & Artificial Intelligence","Modalities & Research"
"04724c257dc3f7654f96d4709873c05e","Adobe PDF Extract","Infrastructure","Integrate & Operate"
"04f1806c879a87a2033edc5be2f8cef9","Piiano","Infrastructure","Integrate & Operate"
"04f45e932f577e798e8058cc738a9702","Salesforce Agentforce","Machine Learning & Artificial Intelligence","Build"
